CUZD1	UniProtKB:Q86UP6	CUB and zona pellucida-like domain-containing protein 1
SLC2A4	UniProtKB:P14672	Solute carrier family 2, facilitated glucose transporter member 4
RTN4RL2	UniProtKB:Q86UN3	Reticulon-4 receptor-like 2
RTN4RL2	UniProtKB:Q86UN3	Reticulon-4 receptor-like 2
BTN3A2	UniProtKB:P78410	Butyrophilin subfamily 3 member A2
TSPAN33	UniProtKB:Q86UF1	Tetraspanin-33
LRRTM1	UniProtKB:Q86UE6	Leucine-rich repeat transmembrane neuronal protein 1
AAMP	UniProtKB:Q13685	Angio-associated migratory cell protein
ITGA7	UniProtKB:Q13683	Integrin alpha-7
ITGA7	UniProtKB:Q13683	Integrin alpha-7
TPBG	UniProtKB:Q13641	Trophoblast glycoprotein
CHADL	UniProtKB:Q6NUI6	Chondroadherin-like protein
CLEC4G	UniProtKB:Q6UXB4	C-type lectin domain family 4 member G
NRXN1	UniProtKB:P58400	Neurexin-1-beta
MBP	UniProtKB:P02686	Myelin basic protein
BTNL8	UniProtKB:Q6UX41	Butyrophilin-like protein 8
FOLR3	UniProtKB:P41439	Folate receptor gamma
LAYN	UniProtKB:Q6UX15	Layilin
HFE	UniProtKB:Q30201	Hereditary hemochromatosis protein
HFE	UniProtKB:Q30201	Hereditary hemochromatosis protein
CCR9	UniProtKB:P51686	C-C chemokine receptor type 9
CCR9	UniProtKB:P51686	C-C chemokine receptor type 9
CCR8	UniProtKB:P51685	C-C chemokine receptor type 8
CCR4	UniProtKB:P51679	C-C chemokine receptor type 4
CCR3	UniProtKB:P51677	C-C chemokine receptor type 3
GPC3	UniProtKB:P51654	Glypican-3
IL27RA	UniProtKB:Q6UWB1	Interleukin-27 receptor subunit alpha
IRAK1	UniProtKB:P51617	Interleukin-1 receptor-associated kinase 1
ANTXR2	UniProtKB:P58335	Anthrax toxin receptor 2
NRROS	UniProtKB:Q86YC3	Transforming growth factor beta activator LRRC33
CXCL12	UniProtKB:P48061	Stromal cell-derived factor 1
FASLG	UniProtKB:P48023	Tumor necrosis factor ligand superfamily member 6
CSPG4	UniProtKB:Q6UVK1	Chondroitin sulfate proteoglycan 4
CSPG4	UniProtKB:Q6UVK1	Chondroitin sulfate proteoglycan 4
ADAM2	UniProtKB:Q99965	Disintegrin and metalloproteinase domain-containing protein 2
CD207	UniProtKB:Q9UJ71	C-type lectin domain family 4 member K
F2R	UniProtKB:P25116	Proteinase-activated receptor 1
ACKR3	UniProtKB:P25106	Atypical chemokine receptor 3
ACKR3	UniProtKB:P25106	Atypical chemokine receptor 3
TACR1	UniProtKB:P25103	Substance-P receptor
FCGRT	UniProtKB:P55899	IgG receptor FcRn large subunit p51
SLC26A9	UniProtKB:Q7LBE3	Solute carrier family 26 member 9
SLC26A9	UniProtKB:Q7LBE3	Solute carrier family 26 member 9
SLC26A9	UniProtKB:Q7LBE3	Solute carrier family 26 member 9
SCARA5	UniProtKB:Q6ZMJ2	Scavenger receptor class A member 5
CD24	UniProtKB:P25063	Signal transducer CD24
CD24	UniProtKB:P25063	Signal transducer CD24
CD63	UniProtKB:P08962	CD63 antigen
CXCR2	UniProtKB:P25025	C-X-C chemokine receptor type 2
CXCR2	UniProtKB:P25025	C-X-C chemokine receptor type 2
CXCR1	UniProtKB:P25024	C-X-C chemokine receptor type 1
LY75	UniProtKB:O60449	Lymphocyte antigen 75
PHB1	UniProtKB:P35232	Prohibitin 1
PHB1	UniProtKB:P35232	Prohibitin 1
PHB1	UniProtKB:P35232	Prohibitin 1
IL13	UniProtKB:P35225	Interleukin-13
ADGRE1	UniProtKB:Q14246	Adhesion G protein-coupled receptor E1
EBI3	UniProtKB:Q14213	Interleukin-27 subunit beta
LY6D	UniProtKB:Q14210	Lymphocyte antigen 6D
LRRC24	UniProtKB:Q50LG9	Leucine-rich repeat-containing protein 24
ENPP1	UniProtKB:P22413	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
ENPP1	UniProtKB:P22413	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
PVR	UniProtKB:P15151	Poliovirus receptor
abeta-42-oligomer_human	ComplexPortal:CPX-1134	Amyloid-beta protein 42 oligomeric complex
abeta-42-oligomer_human	ComplexPortal:CPX-1134	Amyloid-beta protein 42 oligomeric complex
abeta-42-oligomer_human	ComplexPortal:CPX-1134	Amyloid-beta protein 42 oligomeric complex
abeta-42-oligomer_human	ComplexPortal:CPX-1134	Amyloid-beta protein 42 oligomeric complex
abeta-42-oligomer_human	ComplexPortal:CPX-1134	Amyloid-beta protein 42 oligomeric complex
ABCG1	UniProtKB:P45844	ATP-binding cassette sub-family G member 1
DSG2	UniProtKB:Q14126	Desmoglein-2
DAG1	UniProtKB:Q14118	Dystroglycan 1
LRP8	UniProtKB:Q14114	Low-density lipoprotein receptor-related protein 8
AZGP1	UniProtKB:P25311	Zinc-alpha-2-glycoprotein
IL6R	UniProtKB:P08887	Interleukin-6 receptor subunit alpha
GREM1	UniProtKB:O60565	Gremlin-1
GREM1	UniProtKB:O60565	Gremlin-1
AMOT	UniProtKB:Q4VCS5	Angiomotin
TLR2	UniProtKB:O60603	Toll-like receptor 2
GFRA3	UniProtKB:O60609	GDNF family receptor alpha-3
ANXA5	UniProtKB:P08758	Annexin A5
GPC1	UniProtKB:P35052	Glypican-1
SERPINF2	UniProtKB:P08697	Alpha-2-antiplasmin
CTNND1	UniProtKB:O60716	Catenin delta-1
ITGA5	UniProtKB:P08648	Integrin alpha-5
ITGA5	UniProtKB:P08648	Integrin alpha-5
ITGA5	UniProtKB:P08648	Integrin alpha-5
ITGA5	UniProtKB:P08648	Integrin alpha-5
ITGA5	UniProtKB:P08648	Integrin alpha-5
ITGA5	UniProtKB:P08648	Integrin alpha-5
HLA-DRA	UniProtKB:P01903	HLA class II histocompatibility antigen, DR alpha chain
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
ADAMTS9	UniProtKB:Q9P2N4	A disintegrin and metalloproteinase with thrombospondin motifs 9
BSPH1	UniProtKB:Q075Z2	Binder of sperm protein homolog 1
IQGAP2	UniProtKB:Q13576	Ras GTPase-activating-like protein IQGAP2
TLR3	UniProtKB:O15455	Toll-like receptor 3
ABCC4	UniProtKB:O15439	ATP-binding cassette sub-family C member 4
ABCC4	UniProtKB:O15439	ATP-binding cassette sub-family C member 4
THY1	UniProtKB:P04216	Thy-1 membrane glycoprotein
THY1	UniProtKB:P04216	Thy-1 membrane glycoprotein
THY1	UniProtKB:P04216	Thy-1 membrane glycoprotein
ADGRG6	UniProtKB:Q86SQ4	Adhesion G-protein coupled receptor G6
CLEC14A	UniProtKB:Q86T13	C-type lectin domain family 14 member A
CLEC14A	UniProtKB:Q86T13	C-type lectin domain family 14 member A
ATP1B2	UniProtKB:P14415	Sodium/potassium-transporting ATPase subunit beta-2
PICALM	UniProtKB:Q13492	Phosphatidylinositol-binding clathrin assembly protein
HRG	UniProtKB:P04196	Histidine-rich glycoprotein
PLET1	UniProtKB:Q6UQ28	Placenta-expressed transcript 1 protein
FZD5	UniProtKB:Q13467	Frizzled-5
ADAM15	UniProtKB:Q13444	Disintegrin and metalloproteinase domain-containing protein 15
ADAM9	UniProtKB:Q13443	Disintegrin and metalloproteinase domain-containing protein 9
ADAM9	UniProtKB:Q13443	Disintegrin and metalloproteinase domain-containing protein 9
MSLN	UniProtKB:Q13421	Mesothelin
PLA2R1	UniProtKB:Q13018	Secretory phospholipase A2 receptor
TECTB	UniProtKB:Q96PL2	Beta-tectorin
FCRL4	UniProtKB:Q96PJ5	Fc receptor-like protein 4
FCRL4	UniProtKB:Q96PJ5	Fc receptor-like protein 4
EFNB1	UniProtKB:P98172	Ephrin-B1
LRP2	UniProtKB:P98164	Low-density lipoprotein receptor-related protein 2
PKD1	UniProtKB:P98161	Polycystin-1
EMP2	UniProtKB:P54851	Epithelial membrane protein 2
FCRL3	UniProtKB:Q96P31	Fc receptor-like protein 3
FCRL3	UniProtKB:Q96P31	Fc receptor-like protein 3
SDC2	UniProtKB:P34741	Syndecan-2
FOLR2	UniProtKB:P14207	Folate receptor beta
FOLR2	UniProtKB:P14207	Folate receptor beta
FOLR2	UniProtKB:P14207	Folate receptor beta
CXCR4	UniProtKB:P61073	C-X-C chemokine receptor type 4
CXCR4	UniProtKB:P61073	C-X-C chemokine receptor type 4
CXCR4	UniProtKB:P61073	C-X-C chemokine receptor type 4
CXCR4	UniProtKB:P61073	C-X-C chemokine receptor type 4
CXCR4	UniProtKB:P61073	C-X-C chemokine receptor type 4
CXCR4	UniProtKB:P61073	C-X-C chemokine receptor type 4
CXCR4	UniProtKB:P61073	C-X-C chemokine receptor type 4
SLAMF1	UniProtKB:Q13291	Signaling lymphocytic activation molecule
KLRD1	UniProtKB:Q13241	Natural killer cells antigen CD94
GRIN2B	UniProtKB:Q13224	Glutamate receptor ionotropic, NMDA 2B
